Team,Rec,MAP,RND,RD,Group
Europe,4–1,9/5,166/146,+20,Group A
Russia,4–1,9/2,144/86,+58,Group A
Europe,3–2,6/5,119/120,-1,Group A
Russia,2–3,6/7,139/154,-15,Group A
Lithuania,2–3,4/8,107/132,-25,Group A
Germany,0–5,3/10,122/159,-37,Group A
Europe,5–0,10/2,146/95,+51,Group B
Europe,3–2,8/4,134/115,+19,Group B
Europe,3–2,7/6,144/129,+15,Group B
Turkey,2–3,4/7,104/120,-16,Group B
Europe,2–3,6/7,125/143,-18,Group B
Turkey,0–5,1/10,96/147,-51,Group B
